College Name,Website,City,State,Data Analytics Only,Data Analytics degree/cert Offered,Data Science degree/cert Offered,Offers Certificate,Offers AS,Offer Data Science Course,COUNTY,LATITUDE,LONGITUDE
Compton College,https://www.compton.edu/academics/docs/2024-2025_Compton-College-Catalog.pdf,Compton,California,0,0,0,0,0,1,Los Angeles,33.890654,-118.239044
College of the Redwoods,,Eureka,California,0,0,0,0,0,0,Humboldt,40.776237,-124.155892
Napa Valley College,,Napa,California,0,0,0,0,0,0,Napa,38.328137,-122.305518
Lemoore College,,Lemoore,California,0,0,0,0,0,0,Kings,36.309535,-119.831017
Taft College,https://www.taftcollege.edu/committees/academic-senate/_files/2024/may-6_whole/Taft%20College_1page_%20NSFDataScienc%20Corps.pdf,Taft,California,0,0,0,0,0,0,Kern,35.148164,-119.455674
Lake Tahoe Community College,,South Lake Tahoe,California,0,0,0,0,0,0,El Dorado,38.916976,-119.986469
Woodland Community College,,Woodland,California,0,0,0,0,0,0,Yolo,38.674294,-121.77932
Coalinga College,,Coalinga,California,0,0,0,0,0,0,Fresno,36.162435,-120.348928
Palo Verde College,,Blythe,California,0,0,0,0,0,0,Riverside,33.605715,-114.597131
Barstow Community College,,Barstow,California,0,0,0,0,0,0,San Bernardino,34.89145,-117.038702
Columbia College,,Sonora,California,0,0,0,0,0,0,Tuolumne,37.995692,-120.338498
Calbright College,https://www.calbright.edu/programs/data-analysis,Online,,1,1,0,1,0,0,Sacramento,38.57158,-121.49503
Lassen College,,Susanville,California,0,0,0,0,0,0,Lassen,40.416389,-120.651944
College of the Siskiyous,,Weed,California,0,0,0,0,0,0,Siskiyou,41.439466,-122.384803
Feather River College,,Quincy,California,0,0,0,0,0,0,Plumas,39.940504,-120.928493
Copper Mountain College,,Joshua Tree,California,0,0,0,0,0,0,San Bernardino,34.150163,-116.303763
Bevill State Community College,,Jasper,Alabama,0,0,0,0,0,0,Walker,33.871672,-87.249144
Bishop State Community College,,Mobile,Alabama,0,0,0,0,0,0,Mobile,30.6959,-88.0434
Calhoun Community College,,Decatur,Alabama,0,0,0,0,0,0,Morgan,34.589599,-86.98868
Central Alabama Community College,,Alexander City,Alabama,0,0,0,0,0,0,Tallapoosa,32.941445,-85.951086
